,,,,SIDE 1,,,,,,,,,,,SIDE 1,,,,,,,,,,,Wire,,,,,COGS
SKU,IPN,Pin Count,Pack Size,Family 1,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Family 2,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Spec,Cost per Foot,Length,Qty (feet),Ext Cost,Material
MPA-UF3-8p-M-M-12in-2pk,daring-storm-stir,8,2,UF3,"(UF3) 2x4 Conn, Plug",0430200801,$0.41,2,$0.83,(UF3) M Crimp for Plug,0430310001,$0.04,16,$0.65,UF3,"(UF3) 2x4 Conn, Plug",0430200801,$0.41,2,$0.83,(UF3) M Crimp for Plug,0430310001,$0.04,16,$0.65,"20 AWG, Silicone, Black",$0.10,12in,17.6,$1.76,$4.72
MPA-DDT-2p-F-F-6in-2pk,deadly-sun-stop,2,2,DDT,(DDT) 2p Rec,DT04-2P + W2P,$0.61,2,$1.23,(DDT) M Crimp for Rec,1060-16-0622,$0.12,4,$0.47,DDT,(DDT) 2p Rec,DT04-2P + W2P,$0.61,2,$1.23,(DDT) M Crimp for Rec,1060-16-0622,$0.12,4,$0.47,"16 AWG, GXL, Black",$0.10,6in,2.2,$0.22,$3.62
MPA-DDT-2p-F-F-12in-2pk,deep-table-stretch,2,2,DDT,(DDT) 2p Rec,DT04-2P + W2P,$0.61,2,$1.23,(DDT) M Crimp for Rec,1060-16-0622,$0.12,4,$0.47,DDT,(DDT) 2p Rec,DT04-2P + W2P,$0.61,2,$1.23,(DDT) M Crimp for Rec,1060-16-0622,$0.12,4,$0.47,"16 AWG, GXL, Black",$0.10,12in,4.4,$0.44,$3.84
MPA-DDT-3p-F-F-6in-2pk,dizzy-toy-swim,3,2,DDT,(DDT) 3p Rec,DT04-3P + W3P,$0.74,2,$1.48,(DDT) M Crimp for Rec,1060-16-0622,$0.12,6,$0.71,DDT,(DDT) 3p Rec,DT04-3P + W3P,$0.74,2,$1.48,(DDT) M Crimp for Rec,1060-16-0622,$0.12,6,$0.71,"16 AWG, GXL, Black",$0.10,6in,3.3,$0.33,$4.71
MPA-DDT-3p-F-F-12in-2pk,dull-train-swing,3,2,DDT,(DDT) 3p Rec,DT04-3P + W3P,$0.74,2,$1.48,(DDT) M Crimp for Rec,1060-16-0622,$0.12,6,$0.71,DDT,(DDT) 3p Rec,DT04-3P + W3P,$0.74,2,$1.48,(DDT) M Crimp for Rec,1060-16-0622,$0.12,6,$0.71,"16 AWG, GXL, Black",$0.10,12in,6.6,$0.66,$5.04
MPA-DDT-4p-F-F-6in-2pk,faint-tree-talk,4,2,DDT,(DDT) 4p Rec,DT04-4P + W4P,$1.29,2,$2.57,(DDT) M Crimp for Rec,1060-16-0622,$0.12,8,$0.94,DDT,(DDT) 4p Rec,DT04-4P + W4P,$1.29,2,$2.57,(DDT) M Crimp for Rec,1060-16-0622,$0.12,8,$0.94,"16 AWG, GXL, Black",$0.10,6in,4.4,$0.44,$7.47
MPA-DDT-4p-F-F-12in-2pk,filthy-basket-admire,4,2,DDT,(DDT) 4p Rec,DT04-4P + W4P,$1.29,2,$2.57,(DDT) M Crimp for Rec,1060-16-0622,$0.12,8,$0.94,DDT,(DDT) 4p Rec,DT04-4P + W4P,$1.29,2,$2.57,(DDT) M Crimp for Rec,1060-16-0622,$0.12,8,$0.94,"16 AWG, GXL, Black",$0.10,12in,8.8,$0.88,$7.91
MPA-DDT-6p-F-F-6in-2pk,fluffy-beach-agree,6,2,DDT,(DDT) 6p Rec,DT04-6P + W6P,$1.72,2,$3.44,(DDT) M Crimp for Rec,1060-16-0622,$0.12,12,$1.41,DDT,(DDT) 6p Rec,DT04-6P + W6P,$1.72,2,$3.44,(DDT) M Crimp for Rec,1060-16-0622,$0.12,12,$1.41,"16 AWG, GXL, Black",$0.10,6in,6.6,$0.66,$10.36
MPA-DDT-6p-F-F-12in-2pk,frail-branch-arrive,6,2,DDT,(DDT) 6p Rec,DT04-6P + W6P,$1.72,2,$3.44,(DDT) M Crimp for Rec,1060-16-0622,$0.12,12,$1.41,DDT,(DDT) 6p Rec,DT04-6P + W6P,$1.72,2,$3.44,(DDT) M Crimp for Rec,1060-16-0622,$0.12,12,$1.41,"16 AWG, GXL, Black",$0.10,12in,13.2,$1.32,$11.02
MPA-DDT-2p-F-M-6in-2pk,ancient-cabin-balance,2,2,DDT,(DDT) 2p Rec,DT04-2P + W2P,$0.61,2,$1.23,(DDT) M Crimp for Rec,1060-16-0622,$0.12,4,$0.47,DDT,(DDT) 2p Plug,DT06-2S + W2S,$0.69,2,$1.37,(DDT) F Crimp for Plug,1062-16-0622,$0.19,4,$0.75,"16 AWG, GXL, Black",$0.10,6in,2.2,$0.22,$4.05
MPA-DDT-2p-F-M-12in-2pk,basic-cactus-beam,2,2,DDT,(DDT) 2p Rec,DT04-2P + W2P,$0.61,2,$1.23,(DDT) M Crimp for Rec,1060-16-0622,$0.12,4,$0.47,DDT,(DDT) 2p Plug,DT06-2S + W2S,$0.69,2,$1.37,(DDT) F Crimp for Plug,1062-16-0622,$0.19,4,$0.75,"16 AWG, GXL, Black",$0.10,12in,4.4,$0.44,$4.27
